省份,年份,收入,支出,收支差额,消费率(%)
上海市,2024,88366.0,48879.0,39487.0,55.31
上海市,2023,84834.0,52722.0,32112.0,62.15
上海市,2022,79610.0,52508.0,27102.0,65.96
上海市,2021,78027.0,46045.0,31982.0,59.01
云南省,2024,29932.0,18951.0,10981.0,63.31
云南省,2023,28421.0,18851.0,9570.0,66.33
云南省,2022,26937.0,22280.0,4657.0,82.71
云南省,2021,25666.0,20995.0,4671.0,81.8
内蒙古自治区,2024,40077.0,27025.0,13052.0,67.43
内蒙古自治区,2023,38130.0,22298.0,15832.0,58.48
内蒙古自治区,2022,35921.0,22658.0,13263.0,63.08
内蒙古自治区,2021,34108.0,28113.0,5995.0,82.42
北京市,2024,85415.0,49748.0,35667.0,58.24
北京市,2023,81752.0,47586.0,34166.0,58.21
北京市,2022,77415.0,42683.0,34732.0,55.14
北京市,2021,75002.0,43640.0,31362.0,58.19
吉林省,2024,31318.0,19605.0,11713.0,62.6
吉林省,2023,29797.0,23118.0,6679.0,77.58
吉林省,2022,27975.0,21411.0,6564.0,76.54
吉林省,2021,27770.0,17898.0,9872.0,64.45
四川省,2024,34325.0,22302.0,12023.0,64.97
四川省,2023,32514.0,21518.0,10996.0,66.18
四川省,2022,30679.0,24878.0,5801.0,81.09
四川省,2021,29080.0,23550.0,5530.0,80.98
天津市,2024,53581.0,34914.0,18667.0,65.16
天津市,2023,51271.0,31324.0,19947.0,61.09
天津市,2022,48976.0,33188.0,15788.0,67.76
天津市,2021,47449.0,35804.0,11645.0,75.46
宁夏回族自治区,2024,33355.0,22865.0,10490.0,68.55
宁夏回族自治区,2023,31604.0,21629.0,9975.0,68.44
宁夏回族自治区,2022,29599.0,19136.0,10463.0,64.65
宁夏回族自治区,2021,27904.0,20024.0,7880.0,71.76
安徽省,2024,36782.0,21911.0,14871.0,59.57
安徽省,2023,34893.0,24996.0,9897.0,71.64
安徽省,2022,32745.0,23607.0,9138.0,72.09
安徽省,2021,30904.0,22542.0,8362.0,72.94
山东省,2024,42077.0,22640.0,19437.0,53.81
山东省,2023,39890.0,22821.0,17069.0,57.21
山东省,2022,37560.0,25645.0,11915.0,68.28
山东省,2021,35705.0,24293.0,11412.0,68.04
山西省,2024,32441.0,19756.0,12685.0,60.9
山西省,2023,30924.0,17537.0,13387.0,56.71
山西省,2022,29178.0,17191.0,11987.0,58.92
山西省,2021,27426.0,21090.0,6336.0,76.9
广东省,2024,51474.0,35818.0,15656.0,69.58
广东省,2023,49327.0,34331.0,14996.0,69.6
广东省,2022,47065.0,32169.0,14896.0,68.35
广东省,2021,44993.0,31589.0,13404.0,70.21
广西壮族自治区,2024,31125.0,18088.0,13037.0,58.11
广西壮族自治区,2023,29514.0,21150.0,8364.0,71.66
广西壮族自治区,2022,27981.0,19749.0,8232.0,70.58
广西壮族自治区,2021,26727.0,18343.0,8384.0,68.63
新疆维吾尔自治区,2024,30899.0,17927.0,12972.0,58.02
新疆维吾尔自治区,2023,28947.0,18961.0,9986.0,65.5
新疆维吾尔自治区,2022,27063.0,21364.0,5699.0,78.94
新疆维吾尔自治区,2021,26075.0,19715.0,6360.0,75.61
江苏省,2024,55415.0,35491.0,19924.0,64.05
江苏省,2023,52674.0,32848.0,19826.0,62.36
江苏省,2022,49862.0,31451.0,18411.0,63.08
江苏省,2021,47498.0,37346.0,10152.0,78.63
江西省,2024,36007.0,24726.0,11281.0,68.67
江西省,2023,34242.0,23379.0,10863.0,68.28
江西省,2022,32419.0,21708.0,10711.0,66.96
江西省,2021,30610.0,20290.0,10320.0,66.29
河北省,2024,34665.0,19954.0,14711.0,57.56
河北省,2023,32903.0,24253.0,8650.0,73.71
河北省,2022,30867.0,22920.0,7947.0,74.25
河北省,2021,29383.0,20890.0,8493.0,71.1
河南省,2024,31552.0,19019.0,12533.0,60.28
河南省,2023,29933.0,18391.0,11542.0,61.44
河南省,2022,28222.0,21956.0,6266.0,77.8
河南省,2021,26811.0,21011.0,5800.0,78.37
浙江省,2024,67013.0,42194.0,24819.0,62.96
浙江省,2023,63830.0,38971.0,24859.0,61.05
浙江省,2022,60302.0,36668.0,23634.0,60.81
浙江省,2021,57541.0,45107.0,12434.0,78.39
海南省,2024,34829.0,25908.0,8921.0,74.39
海南省,2023,33192.0,23752.0,9440.0,71.56
海南省,2022,30957.0,21500.0,9457.0,69.45
海南省,2021,30457.0,22242.0,8215.0,73.03
湖北省,2024,36947.0,23846.0,13101.0,64.54
湖北省,2023,35146.0,27888.0,7258.0,79.35
湖北省,2022,32914.0,27106.0,5808.0,82.35
湖北省,2021,30829.0,24828.0,6001.0,80.53
湖南省,2024,37679.0,24083.0,13596.0,63.92
湖南省,2023,35895.0,22798.0,13097.0,63.51
湖南省,2022,34036.0,26760.0,7276.0,78.62
湖南省,2021,31993.0,25462.0,6531.0,79.59
甘肃省,2024,26612.0,19013.0,7599.0,71.45
甘肃省,2023,25011.0,17489.0,7522.0,69.93
甘肃省,2022,23273.0,17456.0,5817.0,75.01
甘肃省,2021,22066.0,19829.0,2237.0,89.86
福建省,2024,47857.0,33876.0,13981.0,70.79
福建省,2023,45426.0,31869.0,13557.0,70.16
福建省,2022,43118.0,30042.0,13076.0,69.67
福建省,2021,40659.0,28440.0,12219.0,69.95
西藏自治区,2023,28983.0,18983.0,10000.0,65.5
西藏自治区,2022,26675.0,17220.0,9455.0,64.55
西藏自治区,2021,24950.0,15886.0,9064.0,63.67
